date;AQI;PM2.5;PM10;NO2;SO2;CO;O3;temperature;humidity;wind_speed;precipitation;hospital_visits;emergency_visits;mobility_index;school_closures;public_transport_usage;mask_usage_rate;lockdown_status;industrial_activity;vehicle_count;construction_activity;respiratory_admissions;population_density;green_cover_percentage
01/01/2020;109.9342831;31.38288663;57.71837284;47.65402156;25.87407029;0.956973035;32.57468152;37.55566274;20.54279947;5.204995195;0.179832296;18;6;77.27068251;0;43.10337617;75.70616232;0;66.09846561;9757;63.00157288;11;1957.637287;42.34841894
02/01/2020;97.23471398;47.09422484;67.38138333;50.73412702;10.60509528;0.990203229;23.74913844;24.90034219;27.30878503;6.23544636;3.278768085;20;8;91.53147041;0;30.60659105;69.65280242;0;107.6861744;9157;6.417798106;13;2962.76947;27.71273478
03/01/2020;112.9537708;53.795917;61.15879633;44.98689912;18.36102472;1.019288464;35.53085105;23.43716471;80.05597722;5.673999325;1.502239261;18;8;83.65483618;0;13.03742366;82.56118265;1;77.44519197;2058;66.0018487;3;6912.007043;41.03151642
04/01/2020;130.4605971;88.31531486;69.04008363;20.57502309;19.79169988;1.284058438;25.27710647;22.38820037;25.92998815;8.496463487;9.061902459;18;4;59.75295026;0;8.974779437;73.64283619;0;51.86400047;8726;79.58092263;6;9227.543628;40.54353662
05/01/2020;95.31693251;68.34829687;75.71699379;38.44577567;20.07954329;0.775834807;35.9964403;26.88183519;34.94634266;1.184104177;1.758326701;21;5;77.39246917;1;96.02268934;68.68810563;0;148.7144884;9720;6.301105133;8;1277.810175;5.648920202
06/01/2020;95.31726086;39.96777646;96.74308973;28.44292425;20.90248028;0.746095903;27.8071082;26.93291295;36.13826762;14.57310291;3.94282714;17;6;70.42057138;0;99.51534381;67.39377816;0;121.6176542;4069;84.84205818;9;6428.622693;47.14990961
07/01/2020;131.5842563;67.29054434;73.57681923;37.97394227;23.0521991;1.370985923;16.23162299;29.75313937;62.01643388;14.04676552;7.120775121;16;3;88.32795952;0;89.79253838;57.89534971;0;123.5463227;2500;12.33590226;8;3831.189452;19.03477874
08/01/2020;115.3486946;36.79044017;48.28748586;49.80004236;19.8229628;0.861206577;22.14067008;20.36968918;60.36429585;14.0160997;8.1542166;14;4;88.88058651;0;45.86314321;76.47065947;0;116.2958654;8068;17.58337003;13;3284.793439;41.34293131
09/01/2020;90.61051228;76.24036581;102.8013569;43.05150836;18.15970859;0.621089394;26.55668233;23.43752561;40.25922664;13.18916436;4.777131532;26;6;78.15354225;0;80.79157598;75.99232854;0;64.37384696;4705;83.64035358;8;1882.424687;63.19985594
10/01/2020;110.8512009;52.93313022;63.25819733;51.48090866;17.96205328;0.854461017;40.94551219;35.15272862;34.53279559;9.904894533;1.811350096;20;5;95.40823637;0;83.42821986;79.53847749;0;70.6694423;8036;12.47020332;11;8892.778335;17.49874046
11/01/2020;90.73164614;58.59545717;78.82559146;43.41753921;16.94242099;0.900984179;37.20914904;26.12295317;73.51724209;3.316628441;2.708952236;14;5;90.8204834;0;29.98092106;55.81118276;1;88.56676371;4841;67.38552146;8;3706.128433;22.56045992
12/01/2020;90.68540493;79.88694971;88.93073014;27.0167406;23.93771662;1.466488818;42.9908913;24.13737813;85.48193089;0.742252307;4.189684476;21;6;75.72044793;0;58.60290502;95.74614987;0;149.5467036;1687;29.48142874;7;4488.537166;9.137245571
13/01/2020;104.8392454;40.69254647;83.99220837;14.79152993;16.7673576;1.277447864;43.22908173;20.29191117;23.69639759;1.489815972;3.645945893;19;6;85.4573848;0;95.68220168;87.10280616;1;117.257413;6266;24.83650615;11;2153.051153;36.96324415
14/01/2020;61.73439511;39.04322722;101.883591;41.48808762;24.23385555;1.344256185;25.72199356;27.52967153;29.32263239;4.859887507;3.486727572;17;4;72.08050944;0;28.00678002;56.54820501;0;94.23802305;1954;65.01545232;13;6117.650425;61.55638187
15/01/2020;65.50164335;51.2460101;89.58006287;37.86073534;20.09499541;1.245992093;28.49210512;30.15509109;64.95147921;7.558245382;1.318538018;32;9;76.64047569;0;66.28863742;53.96719719;0;98.4726601;8052;10.67616521;11;4457.967967;40.41248453
16/01/2020;88.75424942;75.57568277;62.77380841;30.23054261;17.39372597;1.283873101;26.70976061;29.37293823;76.31090162;14.89879607;9.133102522;21;6;86.09460953;0;66.25411251;82.14603363;0;142.220561;4589;57.46224044;10;2010.720455;27.9113392
17/01/2020;79.74337759;37.20980887;123.5712435;22.9937275;23.09203608;0.793575362;24.62791516;23.70599568;75.38320681;6.531652377;0.297566064;24;0;80.58715312;0;45.26706518;67.07513598;0;69.64350958;8719;92.45225916;7;3173.770147;63.87809344
18/01/2020;106.2849467;17.51766603;83.88666927;32.65256787;16.36273038;0.940419353;15.26804233;26.80626142;70.37782072;7.869691357;4.400021279;24;2;65.83265787;0;49.03288553;65.95242768;1;82.08737116;5216;85.14083196;12;3972.553495;39.59751149
19/01/2020;81.83951849;53.23261712;77.05319547;38.05508515;23.1909202;0.703025406;29.88201826;33.35829718;82.11995681;10.42735871;9.803214925;18;5;84.16382434;0;45.63825123;91.99955306;0;87.08739819;3355;85.1115334;9;862.0976568;68.29043451
20/01/2020;71.75392597;68.276112;99.27850846;46.65877824;21.06363061;0.936853591;19.71547525;30.35441146;35.21442157;2.711009557;6.597239388;26;1;76.81499554;0;52.1076923;67.25715997;0;139.7629201;1769;30.29235373;10;613.4247223;53.76475111
21/01/2020;129.3129754;78.00392625;84.98901892;41.88631082;17.01837655;1.205231497;29.72662495;21.07918629;27.51036625;13.99240502;3.554106637;20;5;72.03041443;0;14.8777796;81.6091011;0;127.67856;4301;70.12827253;12;9925.614034;64.23666753
22/01/2020;95.48447399;53.05257957;87.98456386;56.08067247;22.64317408;1.040374985;46.92616648;12.26997468;63.07540791;7.935519088;1.460975845;20;3;69.05097714;0;79.4747112;76.85372558;1;109.0785248;3088;78.01081465;5;9284.358468;47.14021921
23/01/2020;101.3505641;53.82860089;129.84368;29.64395944;22.73294863;1.393444246;25.92523923;26.48386254;77.55931241;4.143845184;9.638726056;15;5;78.06764378;0;66.10751128;63.14836913;0;81.47272728;4901;90.14044923;10;5972.24175;69.30835778
24/01/2020;71.50503628;77.30851101;74.49757143;48.81058892;25.78759803;0.657575262;31.55819205;28.99284063;60.74305049;14.0266348;0.139863619;14;7;82.54966046;0;97.38222733;66.58200356;1;70.22022748;8197;26.41328936;5;2523.261518;39.15298444
25/01/2020;89.11234551;31.9538745;73.64478212;40.47298743;24.83073506;1.150071505;37.25318709;19.55387754;87.40982412;9.381759278;6.813875706;20;7;77.69063984;0;24.56431891;97.1596445;0;83.07554813;6207;76.0860382;10;2400.886639;46.63910125
26/01/2020;102.2184518;54.17218837;82.33157024;46.94669124;22.4563701;0.625509159;32.24233034;24.95605239;75.6895123;7.255345969;8.801374714;20;6;83.0620743;1;14.59682431;66.56864366;0;142.9452486;3173;23.22742368;9;4461.195347;13.72376972
27/01/2020;76.98012845;62.85635835;101.4303187;35.63485137;14.36204524;1.028252941;32.3398735;23.68150467;69.05542606;8.702338649;0.251604899;15;6;77.38186795;1;34.25540659;89.20017155;0;141.0225591;5744;2.779121232;9;3922.940625;65.88716411
28/01/2020;107.5139604;66.73828082;49.8693194;50.71680374;32.24293494;1.222100027;27.10078053;25.52143161;24.21801036;11.22453328;7.251748641;19;1;85.91233194;1;50.97414031;93.06377451;0;92.19549723;1612;48.18346195;12;7356.993715;26.77404502
